"replicate","posterior_draw_index","budget","selected_proposal","selected_reviewer","baseline_A_loss","current_A_loss","absolute_A_reduction","drawwise_percent_reduction"
894,1063,2,"P025","R06",0.205248347182381,0.203991086975543,0.00125726020683811,0.612555581614952
894,1063,3,"P033","R01",0.205248347182381,0.203370111047215,0.00187823613516641,0.915104146245539
894,1063,4,"P039","R01",0.205248347182381,0.202749557123252,0.00249879005912979,1.21744710417053
894,1063,5,"P018","R08",0.205248347182381,0.202126877727364,0.00312146945501737,1.52082562313823
894,1063,6,"P001","R03",0.205248347182381,0.201500084652283,0.0037482625300985,1.82620838684164
895,1325,1,"P025","R01",0.133433314550303,0.133227078795489,0.000206235754813655,0.154560917195763
895,1325,2,"P007","R01",0.133433314550303,0.133019901103838,0.000413413446465144,0.309827757676882
895,1325,3,"P017","R06",0.133433314550303,0.132811080154175,0.000622234396127325,0.466326118199477
895,1325,4,"P039","R08",0.133433314550303,0.132603758609746,0.000829555940557197,0.621700767423014
895,1325,5,"P009","R02",0.133433314550303,0.132393599395167,0.00103971515513557,0.779202074564075
895,1325,6,"P004","R05",0.133433314550303,0.132184361641706,0.00124895290859642,0.936012803703214
896,2808,1,"P007","R08",0.367242824235697,0.36537953791131,0.00186328632438665,0.507371744639124
896,2808,2,"P025","R07",0.367242824235697,0.363501999320346,0.00374082491535072,1.018624372889
896,2808,3,"P034","R01",0.367242824235697,0.361639063634131,0.00560376060156559,1.52590063896499
896,2808,4,"P033","R05",0.367242824235697,0.35976964831105,0.00747317592464719,2.03494130625978
896,2808,5,"P038","R02",0.367242824235697,0.357896007027489,0.0093468172082084,2.5451327000496
896,2808,6,"P024","R01",0.367242824235697,0.356030839777225,0.0112119844584724,3.05301661967301
897,3446,1,"P003","R01",0.00710931145322568,0.00710874050431774,5.70948907939288e-07,0.00803100147877519
897,3446,2,"P020","R04",0.00710931145322568,0.00710816866592394,1.14278730174028e-06,0.0160745145188676
897,3446,3,"P034","R05",0.00710931145322568,0.00710759704115011,1.71441207556799e-06,0.0241150227676426
897,3446,4,"P010","R04",0.00710931145322568,0.00710702499565475,2.28645757092971e-06,0.0321614489106718
897,3446,5,"P002","R07",0.00710931145322568,0.00710645274387897,2.85870934670345e-06,0.0402107766063109
897,3446,6,"P030","R03",0.00710931145322568,0.00710588090982605,3.43054339962349e-06,0.0482542285873123
898,2136,1,"P038","R02",0.536124517930599,0.53431327227938,0.00181124565121893,0.337840481202054
898,2136,2,"P018","R08",0.536124517930599,0.532512619007005,0.00361189892359393,0.673705231302531
898,2136,3,"P027","R05",0.536124517930599,0.530707970877679,0.0054165470529205,1.01031511743353
898,2136,4,"P037","R09",0.536124517930599,0.528907749383149,0.00721676854745035,1.34609933067537
898,2136,5,"P040","R06",0.536124517930599,0.527113732130638,0.00901078579996095,1.68072630491549
898,2136,6,"P002","R01",0.536124517930599,0.525332909637417,0.0107916082931822,2.01289214207866
899,4452,1,"P035","R02",0.0117009441033816,0.0116993007056482,1.64339773343902e-06,0.0140450011462244
899,4452,2,"P008","R08",0.0117009441033816,0.0116976765445603,3.26755882126828e-06,0.0279255997840717
899,4452,3,"P039","R08",0.0117009441033816,0.0116960462275927,4.89787578886007e-06,0.0418588085336171
899,4452,4,"P007","R08",0.0117009441033816,0.0116944125146668,6.53158871483789e-06,0.0558210402265766
899,4452,5,"P019","R04",0.0117009441033816,0.0116927751641216,8.16893925996778e-06,0.0698143601729277
899,4452,6,"P037","R04",0.0117009441033816,0.011691135188233,9.80891514858369e-06,0.083830117141991
900,1091,1,"P038","R05",0.0429420614631488,0.0429209085511462,2.11529120025464e-05,0.0492591908301817
900,1091,2,"P016","R08",0.0429420614631488,0.0428998170866212,4.22443765275421e-05,0.0983752877439165
900,1091,3,"P035","R05",0.0429420614631488,0.0428786343239983,6.34271391505084e-05,0.147703992284905
900,1091,4,"P012","R09",0.0429420614631488,0.0428574548074895,8.46066556592986e-05,0.197025137537714
900,1091,5,"P017","R01",0.0429420614631488,0.0428363970973342,0.000105664365814523,0.24606263000485
900,1091,6,"P006","R08",0.0429420614631488,0.0428152762631655,0.000126785199983305,0.295247120569904
901,2590,1,"P042","R08",0.115422442903766,0.115221317574385,0.000201125329380866,0.174251492448964
901,2590,2,"P018","R04",0.115422442903766,0.115019397072584,0.00040304583118192,0.349191908473086
901,2590,3,"P035","R01",0.115422442903766,0.114818473196933,0.000603969706832783,0.523268864909006
901,2590,4,"P019","R05",0.115422442903766,0.11461687782635,0.000805565077416498,0.697927592892953
901,2590,5,"P003","R07",0.115422442903766,0.11441463529706,0.00100780760670639,0.873147007940783
901,2590,6,"P022","R04",0.115422442903766,0.114212570048439,0.00120987285532734,1.04821283009585
902,1673,1,"P023","R03",0.037063279175018,0.0370445578917105,1.87212833074532e-05,0.0505116755024527
902,1673,2,"P016","R02",0.037063279175018,0.0370258084755693,3.74706994486079e-05,0.101099255874436
902,1673,3,"P006","R03",0.037063279175018,0.037007073108002,5.62060670159653e-05,0.151648931953788
902,1673,4,"P004","R04",0.037063279175018,0.0369883552298539,7.49239451640488e-05,0.202151420035576
902,1673,5,"P009","R08",0.037063279175018,0.0369696851306056,9.35940444123512e-05,0.252524996426752
902,1673,6,"P034","R07",0.037063279175018,0.0369509330555741,0.000112346119443843,0.303119750719652
903,2827,1,"P023","R01",0.102086687940767,0.101966715577524,0.000119972363242557,0.117520085784513
903,2827,2,"P007","R05",0.102086687940767,0.101845734605056,0.000240953335711197,0.236028164466462
903,2827,3,"P013","R04",0.102086687940767,0.101724356619631,0.000362331321136083,0.354925141019676
903,2827,4,"P037","R05",0.102086687940767,0.101603128734508,0.000483559206258977,0.473675085374059
903,2827,5,"P034","R01",0.102086687940767,0.101482735855801,0.000603952084966233,0.59160709113872
903,2827,6,"P011","R08",0.102086687940767,0.101362437635941,0.000724250304826216,0.709446372916361
904,2982,1,"P008","R03",0.164705216754835,0.164425678486535,0.000279538268299823,0.169720348758545
904,2982,2,"P001","R06",0.164705216754835,0.164147131478546,0.000558085276289005,0.338838858467804
904,2982,3,"P042","R07",0.164705216754835,0.163866423543138,0.000838793211696359,0.509269365125763
904,2982,4,"P027","R05",0.164705216754835,0.163587154496951,0.00111806225788361,0.678826256941122
904,2982,5,"P038","R07",0.164705216754835,0.163305734454886,0.00139948229994843,0.849689115816882
904,2982,6,"P015","R02",0.164705216754835,0.163024180139726,0.00168103661510838,1.02063349797269
905,2723,1,"P016","R08",0.00201102585019916,0.00201097206192687,5.37882722828099e-08,0.00267466836776281
905,2723,2,"P007","R04",0.00201102585019916,0.00201091820344361,1.07646755544144e-07,0.00535282803716737
905,2723,3,"P004","R06",0.00201102585019916,0.00201086439124614,1.61458953015607e-07,0.00802868610563198
905,2723,4,"P021","R06",0.00201102585019916,0.0020108105557074,2.15294491760862e-07,0.0107057048391268
905,2723,5,"P018","R06",0.00201102585019916,0.00201075669705133,2.69153147827977e-07,0.0133838731014483
905,2723,6,"P031","R04",0.00201102585019916,0.00201070281620072,3.23033998440338e-07,0.0160631450067311
906,228,1,"P012","R01",0.185531336203406,0.184952141692994,0.000579194510412079,0.312181501122313
906,228,2,"P018","R06",0.185531336203406,0.184371851759013,0.00115948444439301,0.624953427340069
906,228,3,"P041","R01",0.185531336203406,0.183792389531255,0.00173894667215105,0.937279226105808
906,228,4,"P031","R01",0.185531336203406,0.183212541612887,0.00231879459051937,1.24981290922045
906,228,5,"P034","R07",0.185531336203406,0.182630544754379,0.00290079144902655,1.56350485496762
906,228,6,"P025","R08",0.185531336203406,0.182050826847803,0.00348050935560282,1.87596846270055
907,1812,1,"P014","R09",0.048378425503287,0.0483541504478645,2.42750554224347e-05,0.0501774399846588
907,1812,2,"P042","R07",0.048378425503287,0.0483298702797958,4.85552234911618e-05,0.100365447998846
907,1812,3,"P030","R04",0.048378425503287,0.0483055951025697,7.28304007172748e-05,0.150543139756226
907,1812,4,"P025","R02",0.048378425503287,0.0482813148013697,9.71107019172787e-05,0.2007314229577
907,1812,5,"P022","R02",0.048378425503287,0.0482570320673757,0.000121393435911249,0.250924734834541
907,1812,6,"P037","R08",0.048378425503287,0.0482327649448932,0.000145660558393726,0.301085777138054
908,209,1,"P002","R02",0.0519035095410304,0.0518650261035281,3.8483437502318e-05,0.074144191486505
908,209,2,"P020","R08",0.0519035095410304,0.0518271265876015,7.6382953428919e-05,0.147163369306535
908,209,3,"P042","R03",0.0519035095410304,0.0517888793170203,0.000114630224010107,0.220852549324222
908,209,4,"P036","R07",0.0519035095410304,0.0517504019488435,0.000153107592186952,0.294985047332721
908,209,5,"P009","R02",0.0519035095410304,0.0517118928380037,0.00019161670302674,0.369178702405979
908,209,6,"P001","R01",0.0519035095410304,0.051674231463467,0.000229278077563427,0.441739064642979
909,4799,1,"P007","R06",0.298736122128922,0.297722176003734,0.00101394612518807,0.339411959277724
909,4799,2,"P034","R05",0.298736122128922,0.296705416347626,0.00203070578129583,0.679765729977394
909,4799,3,"P011","R01",0.298736122128922,0.295694743312932,0.00304137881599059,1.01808204321473
909,4799,4,"P030","R02",0.298736122128922,0.29467679212558,0.00405933000334202,1.35883467135259
909,4799,5,"P022","R04",0.298736122128922,0.293659832582673,0.00507628954624967,1.69925535287592
909,4799,6,"P033","R07",0.298736122128922,0.29264000661594,0.00609611551298211,2.04063555138179
910,2085,1,"P019","R08",0.174878249998754,0.174442502618949,0.000435747379804702,0.249171855166556
910,2085,2,"P035","R05",0.174878249998754,0.174002778191627,0.000875471807126244,0.500617891094223
910,2085,3,"P013","R08",0.174878249998754,0.173566681523794,0.00131156847495931,0.74998947837633
910,2085,4,"P006","R08",0.174878249998754,0.17312853563937,0.00174971435938348,1.00053286180297
910,2085,5,"P009","R01",0.174878249998754,0.172694298070833,0.0021839519279212,1.24884136702921
910,2085,6,"P002","R03",0.174878249998754,0.172253943028654,0.00262430697009955,1.50064800517975
911,3226,1,"P006","R08",0.049723795995804,0.0496915741675311,3.22218282729006e-05,0.0648016259169346
911,3226,2,"P040","R03",0.049723795995804,0.0496590609468663,6.47350489376627e-05,0.130189273850141
911,3226,3,"P027","R01",0.049723795995804,0.0496269883607502,9.68076350538263e-05,0.194690757443369
911,3226,4,"P009","R01",0.049723795995804,0.0495947805516034,0.000129015444200534,0.259464189362013
911,3226,5,"P032","R02",0.049723795995804,0.049562107658546,0.000161688337258027,0.325172955965935
911,3226,6,"P025","R04",0.049723795995804,0.0495296216808828,0.000194174314921136,0.390505815238888
912,1908,1,"P008","R08",0.109235726779956,0.109041439015536,0.000194287764420487,0.177861007701133
912,1908,2,"P029","R09",0.109235726779956,0.108845172563447,0.000390554216508604,0.357533407815682
912,1908,3,"P037","R08",0.109235726779956,0.108650457223386,0.000585269556570095,0.535785840239851
912,1908,4,"P040","R05",0.109235726779956,0.108454863362722,0.000780863417233726,0.714842515587134
912,1908,5,"P018","R09",0.109235726779956,0.108258277058332,0.000977449721624377,0.894807724942726
912,1908,6,"P030","R06",0.109235726779956,0.108063599332255,0.0011721274477015,1.0730257235919
913,4254,1,"P010","R04",0.364206590706531,0.362326204634876,0.00188038607165453,0.516296552461265
913,4254,2,"P018","R04",0.364206590706531,0.360445401436674,0.00376118926985686,1.03270763512556
913,4254,3,"P026","R09",0.364206590706531,0.358564615433884,0.00564197527264654,1.54911399645503
913,4254,4,"P009","R04",0.364206590706531,0.356683939570014,0.00752265113651646,2.06549011700286
913,4254,5,"P029","R03",0.364206590706531,0.354803302728468,0.00940328797806284,2.58185552321314
913,4254,6,"P024","R01",0.364206590706531,0.352923661082057,0.0112829296244739,3.09794767925148
914,119,1,"P025","R08",0.387889750646683,0.386531135335337,0.00135861531134601,0.350258110476225
914,119,2,"P012","R01",0.387889750646683,0.385179835551714,0.00270991509496882,0.698630239765525
914,119,3,"P041","R08",0.387889750646683,0.383818698515044,0.00407105213163927,1.04953846417754
914,119,4,"P040","R03",0.387889750646683,0.382449146312005,0.00544060433467797,1.40261616235219
914,119,5,"P016","R01",0.387889750646683,0.381098865917813,0.00679088472887024,1.75072548773165
914,119,6,"P013","R04",0.387889750646683,0.379727812701676,0.00816193794500658,2.10419015490849
915,132,1,"P013","R01",0.0282034193231442,0.0281932825431568,1.01367799874401e-05,0.035941670303507
915,132,2,"P001","R04",0.0282034193231442,0.0281830199090862,2.03994140580074e-05,0.0723295775745436
915,132,3,"P027","R04",0.0282034193231442,0.028172731893523,3.06874296212498e-05,0.108807479226702
915,132,4,"P012","R07",0.0282034193231442,0.0281624276524977,4.09916706465216e-05,0.145342911002579
915,132,5,"P037","R05",0.0282034193231442,0.028152193374643,5.12259485011962e-05,0.181630276507499
915,132,6,"P023","R03",0.0282034193231442,0.0281419309634906,6.14883596536907e-05,0.218017393384752
916,4437,1,"P017","R01",0.330800097596631,0.329421952847894,0.00137814474873699,0.416609535108863
916,4437,2,"P015","R03",0.330800097596631,0.328005514207371,0.00279458338925964,0.84479521304957
916,4437,3,"P042","R03",0.330800097596631,0.326636320549099,0.00416377704753207,1.25869885703881
916,4437,4,"P026","R05",0.330800097596631,0.325224855722807,0.00557524187382363,1.68538096401106
916,4437,5,"P036","R05",0.330800097596631,0.323827526307676,0.00697257128895501,2.10778997334432
916,4437,6,"P027","R03",0.330800097596631,0.322439036700779,0.00836106089585176,2.52752673188356
917,834,1,"P039","R06",0.15543552600141,0.155153535523419,0.0002819904779916,0.18141957970988
917,834,2,"P010","R04",0.15543552600141,0.154870922610339,0.000564603391071838,0.363239605253895
917,834,3,"P013","R04",0.15543552600141,0.154587972515817,0.000847553485593178,0.54527655768057
917,834,4,"P007","R04",0.15543552600141,0.154304891915799,0.00113063408561118,0.727397471283956
917,834,5,"P029","R05",0.15543552600141,0.15402241031833,0.00141311568308009,0.909133014461097
917,834,6,"P035","R02",0.15543552600141,0.153739120862622,0.00169640513878822,1.0913882961176
918,4866,1,"P038","R05",0.11838813265005,0.118237944296177,0.000150188353873121,0.126860987255429
918,4866,2,"P001","R05",0.11838813265005,0.118087641220223,0.000300491429827424,0.253818877873225
918,4866,3,"P010","R08",0.11838813265005,0.117937747237861,0.000450385412189225,0.380431215619003
918,4866,4,"P009","R05",0.11838813265005,0.117787310133352,0.000600822516698032,0.507502317376721
918,4866,5,"P033","R03",0.11838813265005,0.117636996317279,0.00075113633277149,0.634469279950392
918,4866,6,"P004","R02",0.11838813265005,0.117486460614169,0.000901672035881776,0.761623665901611
919,4231,1,"P005","R04",0.242467657466324,0.241787662473779,0.00067999499254498,0.28044770987216
919,4231,2,"P020","R08",0.242467657466324,0.241108186014063,0.00135947145226128,0.56068156325142
919,4231,3,"P012","R09",0.242467657466324,0.240428358302626,0.00203929916369849,0.841060282022038
919,4231,4,"P022","R09",0.242467657466324,0.239748358663985,0.00271929880233895,1.12150990806542
919,4231,5,"P011","R05",0.242467657466324,0.239068698937084,0.00339895852924035,1.40181934562239
919,4231,6,"P036","R01",0.242467657466324,0.23838941173695,0.00407824572937412,1.6819751434026
920,3006,1,"P013","R02",0.514858835031855,0.51274167440528,0.00211716062657508,0.411211866733157
920,3006,2,"P030","R06",0.514858835031855,0.510650625642797,0.00420820938905841,0.81735207841933
920,3006,3,"P026","R07",0.514858835031855,0.508532180481159,0.00632665455069603,1.2288134378241
920,3006,4,"P017","R08",0.514858835031855,0.506444392624284,0.0084144424075715,1.63432029034733
920,3006,5,"P006","R09",0.514858835031855,0.504341842393369,0.0105169926384863,2.04269440920356
920,3006,6,"P033","R05",0.514858835031855,0.502244676552098,0.0126141584797571,2.45002272884696
921,189,1,"P015","R07",0.105608519249342,0.10545491640259,0.000153602846752254,0.145445507468576
921,189,2,"P034","R03",0.105608519249342,0.105301681936126,0.000306837313216471,0.290542198108115
921,189,3,"P023","R09",0.105608519249342,0.105149364291065,0.000459154958277572,0.434770756697672
921,189,4,"P024","R06",0.105608519249342,0.104997836259459,0.000610682989883135,0.578251635591358
921,189,5,"P032","R01",0.105608519249342,0.104848301139675,0.000760218109667046,0.719845439620423
921,189,6,"P011","R01",0.105608519249342,0.104697668271393,0.000910850977949143,0.86247869435478
922,2299,1,"P020","R02",0.280086079228381,0.278630568661324,0.00145551056705673,0.519665443947292
922,2299,2,"P037","R01",0.280086079228381,0.277257858985567,0.00282822024281371,1.00976822932624
922,2299,3,"P021","R09",0.280086079228381,0.275862919194321,0.00422316003405937,1.50780790166149
922,2299,4,"P026","R07",0.280086079228381,0.274415977926366,0.00567010130201412,2.02441382222026
922,2299,5,"P028","R01",0.280086079228381,0.272998871138477,0.00708720808990365,2.53036784599522
922,2299,6,"P014","R09",0.280086079228381,0.27162417967562,0.00846189955276094,3.02117819495811
923,4984,1,"P013","R07",0.0493797187746748,0.0493518793017391,2.78394729357201e-05,0.0563783545685117
923,4984,2,"P002","R08",0.0493797187746748,0.0493240628477046,5.56559269701482e-05,0.112710093032551
923,4984,3,"P032","R03",0.0493797187746748,0.0492962322094704,8.34865652043701e-05,0.169070556244617
923,4984,4,"P022","R05",0.0493797187746748,0.0492684069661876,0.000111311808487197,0.225420094016989
923,4984,5,"P030","R03",0.0493797187746748,0.0492405727022016,0.000139146072473138,0.281787899821944
923,4984,6,"P028","R07",0.0493797187746748,0.0492127294027366,0.000166989371938181,0.33817400358267
924,70,1,"P034","R07",0.0829526162098181,0.0828552094314989,9.74067783191535e-05,0.11742460065729
924,70,2,"P019","R05",0.0829526162098181,0.0827587964147952,0.000193819795022879,0.233651214245776
924,70,3,"P029","R01",0.0829526162098181,0.082663698694548,0.000288917515270132,0.348292228106889
924,70,4,"P009","R06",0.0829526162098181,0.082567614835018,0.000385001374800034,0.464122040257564
924,70,5,"P014","R01",0.0829526162098181,0.0824721927284616,0.000480423481356448,0.579154104243413
924,70,6,"P020","R02",0.0829526162098181,0.0823750686131425,0.00057754759667554,0.696237952537515
925,2609,1,"P019","R09",0.00543125886151953,0.00543077166896772,4.8719255181344e-07,0.00897015893065231
925,2609,2,"P003","R01",0.00543125886151953,0.00543028637906775,9.7248245178698e-07,0.0179052863540903
925,2609,3,"P007","R01",0.00543125886151953,0.00542980058595445,1.45827556508136e-06,0.0268496789098609
925,2609,4,"P041","R09",0.00543125886151953,0.00542931297538041,1.94588613912448e-06,0.0358275344397793
925,2609,5,"P027","R05",0.00543125886151953,0.00542882622487945,2.43263664008279e-06,0.0447895543576099
925,2609,6,"P006","R03",0.00543125886151953,0.00542833903051154,2.91983100798865e-06,0.0537597467260427
926,1811,1,"P012","R06",0.345761670488663,0.344065740014946,0.00169593047371724,0.490491173102095
926,1811,2,"P023","R01",0.345761670488663,0.342383786790589,0.00337788369807374,0.976939894262945
926,1811,3,"P028","R02",0.345761670488663,0.340680665329862,0.00508100515880078,1.46951081987191
926,1811,4,"P015","R04",0.345761670488663,0.338971791290391,0.00678987919827223,1.96374548650119
926,1811,5,"P042","R01",0.345761670488663,0.337289748457813,0.00847192203085051,2.45022012384345
926,1811,6,"P033","R09",0.345761670488663,0.335591814941826,0.0101698555468367,2.9412906099348
927,1976,1,"P040","R03",0.0599895218164828,0.0599404668689923,4.90549474904886e-05,0.0817725262764309
927,1976,2,"P025","R04",0.0599895218164828,0.0598914229378356,9.80988786471529e-05,0.163526688789506
927,1976,3,"P023","R08",0.0599895218164828,0.0598425572487993,0.000146964567683518,0.244983729213753
927,1976,4,"P035","R04",0.0599895218164828,0.0597934592070493,0.000196062609433459,0.326828091801173
927,1976,5,"P012","R08",0.0599895218164828,0.0597445392906718,0.000244982525810976,0.408375526913542
927,1976,6,"P018","R03",0.0599895218164828,0.0596954242369317,0.000294097579551039,0.490248247770218
928,1033,1,"P019","R07",0.000425079620353202,0.000425077985967595,1.63438560759179e-09,0.00038448928843819
928,1033,2,"P005","R08",0.000425079620353202,0.000425076351744173,3.26860902916375e-09,0.000768940422607849
928,1033,3,"P038","R02",0.000425079620353202,0.00042507471735856,4.90299464185129e-09,0.00115342971224481
928,1033,4,"P008","R06",0.000425079620353202,0.000425073083102667,6.53725053582042e-09,0.00153788848554738
928,1033,5,"P017","R01",0.000425079620353202,0.00042507144891186,8.17144134198896e-09,0.0019223319469419
928,1033,6,"P042","R08",0.000425079620353202,0.000425069814655967,9.80569723579546e-09,0.00230679072020621
929,1060,1,"P014","R03",0.164871474338059,0.164618505825633,0.000252968512425678,0.153433766175331
929,1060,2,"P006","R02",0.164871474338059,0.164363993697658,0.000507480640400737,0.307803786214818
929,1060,3,"P034","R02",0.164871474338059,0.164108559270739,0.000762915067320236,0.462733211056222
929,1060,4,"P031","R08",0.164871474338059,0.1638572625057,0.00101421183235856,0.6151530071715
929,1060,5,"P024","R01",0.164871474338059,0.163606539145418,0.00126493519264079,0.76722501434488
929,1060,6,"P041","R06",0.164871474338059,0.163354548490198,0.00151692584786109,0.920065677796224
930,4484,1,"P041","R08",0.0778832466808764,0.0778074135678809,7.58331129955547e-05,0.097367683330252
930,4484,2,"P013","R08",0.0778832466808764,0.0777312810996356,0.000151965581240809,0.195119730772758
930,4484,3,"P020","R09",0.0778832466808764,0.0776545834433502,0.000228663237526197,0.293597464501109
930,4484,4,"P034","R01",0.0778832466808764,0.0775791310487513,0.00030411563212511,0.390476315620498
930,4484,5,"P021","R08",0.0778832466808764,0.077502788159006,0.000380458521870422,0.488498538625818
930,4484,6,"P036","R02",0.0778832466808764,0.0774258728307592,0.00045737385011721,0.587255757314896
931,3314,1,"P025","R02",0.186387214167974,0.185904742583314,0.00048247158466036,0.258854442786806
931,3314,2,"P018","R09",0.186387214167974,0.185422422762387,0.000964791405587057,0.517627461676408
931,3314,3,"P030","R08",0.186387214167974,0.184940454591754,0.00144675957622034,0.776211814033823
931,3314,4,"P022","R08",0.186387214167974,0.184458398493137,0.00192881567483688,1.03484334129197
931,3314,5,"P004","R05",0.186387214167974,0.183976276724003,0.00241093744397086,1.29351010193119
931,3314,6,"P027","R08",0.186387214167974,0.183494134584299,0.00289307958367571,1.55218779173792
932,1105,1,"P030","R04",0.26038981746778,0.259503366944842,0.000886450522937787,0.340432099672053
932,1105,2,"P005","R05",0.26038981746778,0.258611366055291,0.00177845141248911,0.682995759889565
932,1105,3,"P004","R01",0.26038981746778,0.257741742895851,0.00264807457192856,1.01696548570154
932,1105,4,"P036","R06",0.26038981746778,0.256860489677936,0.00352932778984416,1.35540161445863
932,1105,5,"P003","R07",0.26038981746778,0.255968272940765,0.00442154452701421,1.69804816870818
932,1105,6,"P010","R05",0.26038981746778,0.255082493573778,0.00530732389400196,2.03822251792111
933,1134,1,"P036","R02",0.24415284562772,0.243369294003635,0.000783551624085027,0.320926681018403
933,1134,2,"P038","R06",0.24415284562772,0.242592193416013,0.00156065221170643,0.639211149759066
933,1134,3,"P009","R06",0.24415284562772,0.241813992446118,0.00233885318160204,0.957946312519448
933,1134,4,"P037","R01",0.24415284562772,0.241045549852335,0.00310729577538518,1.27268464448829
933,1134,5,"P026","R02",0.24415284562772,0.240258371404789,0.00389447422293071,1.59509679803976
933,1134,6,"P018","R03",0.24415284562772,0.239476432379495,0.0046764132482246,1.91536299165446
934,3982,1,"P020","R02",0.0101494603022447,0.0101481200960269,1.34020621781437e-06,0.0132047042690335
934,3982,2,"P018","R06",0.0101494603022447,0.0101467967597762,2.6635424685284e-06,0.026243193127612
934,3982,3,"P038","R05",0.0101494603022447,0.0101454682471615,3.9920550832153e-06,0.0393326833578765
934,3982,4,"P002","R07",0.0101494603022447,0.0101441281598741,5.33214237060861e-06,0.052536215836317
934,3982,5,"P013","R08",0.0101494603022447,0.0101428121666197,6.64813562506819e-06,0.0655023560572756
934,3982,6,"P019","R07",0.0101494603022447,0.0101414702017127,7.99010053207164e-06,0.0787243882347565
935,1172,1,"P021","R01",0.131994610809589,0.131777339664166,0.000217271145423442,0.164606072998594
935,1172,2,"P016","R09",0.131994610809589,0.131559852122788,0.000434758686801567,0.329376089019828
935,1172,3,"P002","R03",0.131994610809589,0.131342362566094,0.000652248243494774,0.494147631857247
935,1172,4,"P023","R01",0.131994610809589,0.131125022918508,0.000869587891080909,0.658805602552476
935,1172,5,"P014","R03",0.131994610809589,0.130907510432134,0.00108710037745474,0.823594517069303
935,1172,6,"P019","R09",0.131994610809589,0.130689991247367,0.0013046195622218,0.988388506333644
936,4237,1,"P003","R02",0.290743962928918,0.289299264427574,0.00144469850134343,0.496897162296931
936,4237,2,"P002","R09",0.290743962928918,0.287868636210852,0.00287532671806534,0.988954917274865
936,4237,3,"P013","R01",0.290743962928918,0.286461803813479,0.0042821591154385,1.47282821362844
936,4237,4,"P011","R01",0.290743962928918,0.285041455388392,0.00570250754052531,1.96135028327983
936,4237,5,"P026","R07",0.290743962928918,0.283587487525114,0.00715647540380321,2.46143559842474
936,4237,6,"P009","R07",0.290743962928918,0.282149611114191,0.00859435181472695,2.95598633524444
937,3784,1,"P007","R03",0.246458027992476,0.245785770336411,0.000672257656064518,0.272767603287421
937,3784,2,"P024","R06",0.246458027992476,0.245114555890515,0.00134347210196084,0.545111925508816
937,3784,3,"P039","R06",0.246458027992476,0.244443284954546,0.00201474303792998,0.817479168498211
937,3784,4,"P020","R08",0.246458027992476,0.243773499249346,0.00268452874312983,1.08924378118119
937,3784,5,"P018","R07",0.246458027992476,0.243097318733056,0.00336070925942003,1.36360307951609
937,3784,6,"P025","R01",0.246458027992476,0.242429885001616,0.00402814299085957,1.63441338213684
938,517,1,"P038","R02",0.121595753434814,0.121391686747454,0.000204066687359838,0.167823860287388
938,517,2,"P008","R08",0.121595753434814,0.121187646424304,0.000408107010509501,0.335626038723699
938,517,3,"P042","R04",0.121595753434814,0.120983591645028,0.000612161789785431,0.503440105836925
938,517,4,"P028","R01",0.121595753434814,0.120779555575429,0.000816197859385026,0.67123878616582
938,517,5,"P031","R04",0.121595753434814,0.120575496068686,0.00102025736612738,0.839056741133913
938,517,6,"P041","R07",0.121595753434814,0.120371430378629,0.00122432305618414,1.0068797812421
939,2667,1,"P034","R03",0.00163378428111802,0.00163374925286052,3.5028257496612e-08,0.0021439952569896
939,2667,2,"P036","R01",0.00163378428111802,0.00163371424355603,7.00375619889105e-08,0.00428683044624367
939,2667,3,"P030","R09",0.00163378428111802,0.00163367921532662,1.05065791400349e-07,0.00643082398420749
939,2667,4,"P015","R09",0.00163378428111802,0.0016336441824289,1.40098689115509e-07,0.00857510325779596
939,2667,5,"P021","R08",0.00163378428111802,0.00163360916836701,1.75112751012564e-07,0.0107182296363344
939,2667,6,"P025","R08",0.00163378428111802,0.00163357414954407,2.10131573948188e-07,0.0128616474265741
940,2469,1,"P037","R05",0.148852693266274,0.148605723152124,0.00024697011414998,0.165915784747133
940,2469,2,"P034","R07",0.148852693266274,0.148356663748083,0.000496029518191138,0.333235165119801
940,2469,3,"P024","R02",0.148852693266274,0.148108068812148,0.000744624454125403,0.500242513444744
940,2469,4,"P023","R03",0.148852693266274,0.147860281333012,0.000992411933261494,0.666707408166426
940,2469,5,"P003","R03",0.148852693266274,0.147612003624496,0.00124068964177756,0.833501641490738
940,2469,6,"P022","R04",0.148852693266274,0.147364168318435,0.00148852494783835,0.999998666584837
941,1964,1,"P031","R04",0.0148939789185946,0.0148908361653344,3.14275326026257e-06,0.021100830593623
941,1964,2,"P003","R08",0.0148939789185946,0.0148877213854184,6.25753317627306e-06,0.0420138447252717
941,1964,3,"P021","R04",0.0148939789185946,0.0148845710727088,9.40784588581572e-06,0.0631654303879156
941,1964,4,"P017","R09",0.0148939789185946,0.0148814281538428,1.25507647518713e-05,0.0842673728791307
941,1964,5,"P041","R04",0.0148939789185946,0.0148782714591736,1.57074594210414e-05,0.105461807800944
941,1964,6,"P033","R09",0.0148939789185946,0.0148751211231517,1.88577954429395e-05,0.1266135499856
942,3998,1,"P017","R01",0.00946943801180346,0.00946851714264431,9.20869159150642e-07,0.00972464425030078
